admin,1478,5
123,5264,3
5nwt3p-ff4wosqm5o,60,17
,4244,0
j5cmmu=kyf0-br8csw,50,18
fob,52,3
welcome,158,7
come,132,4
qazwsx,510,6
wsx,250,3
qweasd,316,6
123qwe,298,6
asd,652,3
hosting,38,7
qwe,1540,3
123456,2770,6
1314,114,4
452,40,3
fan,46,3
mini,482,4
tie,160,3
red,60,3
test,280,4
1234,1518,4
search,62,6
last,82,4
qwe123,192,6
user,202,4
dock,58,4
linux,100,5
2022,406,4
@202,690,4
12345,718,5
word,1412,4
pass,1436,4
gin,46,3
administrator,60,13
post,108,4
global,34,6
qwerty,336,6
wer,616,3
rty,112,3
1234567,458,7
asd123,156,6
123456789,364,9
987654321,28,9
87654321,28,8
root,482,4
!qaz,214,4
edc,280,3
seed,54,4
1q2w3e4r,72,8
ear,124,3
1qazxsw2,48,8
qaz,566,3
die,398,3
12345678,444,8
serve,232,5
2024,384,4
456,248,3
Saga,26,4
password,172,8
Pass,262,4
led,26,3
huawei,218,6
Hua,154,3
centos,144,6
err,44,3
guest,46,5
2023,620,4
1qaz,176,4
abc,758,3
new,48,3
qwe$%^uio,24,9
qwe$%^,24,6
uio,26,3
Admin,442,5
testing,36,7
qazwsxedc,120,9
ubuntu,120,6
shi,44,3
adventure,22,9
Adventure,22,9
234,40,3
ali,56,3
dies,24,4
next,22,4
tar,24,3
Action,22,6
action,22,6
1qaz@wsx3edc,26,12
1qaz@wsx3,26,9
1qaz@wsx,80,8
hello,88,5
2020,178,4
matrix,24,6
smoke,24,5
Smoke,20,5
666,120,3
!qaz@wsx3edc,24,12
!qaz@wsx3,24,9
!qaz@w,36,6
jin,28,3
520,72,3
deploy,48,6
Zaki,20,4
wdkj@2022,20,9
wdkj@2,20,6
qweqwe,126,6
19850521qaz!,20,12
19850521q,20,9
mad,30,3
hadoop,32,6
lewan,1458,5
founder,42,7
sword,100,5
!@#456,70,6
c!@#,112,4
idc!,54,4
under,26,5
121,62,3
pre,20,3
rot,20,3
Pre,20,3
men,40,3
des,18,3
ine,24,3
Test,110,4
qweasdzxc,106,9
love,24,4
321,256,3
2021,242,4
...,86,3
2019,152,4
5201314,28,7
5201,30,4
asdasd,46,6
201,138,3
this,18,4
developer,38,9
dev,118,3
schedule,40,8
satisfactory,26,12
van,20,3
but,16,3
portfolio,16,9
025,22,3
fen,58,3
window,42,6
qwerty123,30,9
qwerty1,28,7
2018,130,4
4rfv%tgb,26,8
1qaz@w,54,6
1qaz@,84,5
1945,16,4
done,16,4
gas,26,3
111,58,3
cap,16,3
311,16,3
craft,64,5
mine,76,4
password1,62,9
qwertyuiop,52,10
1234567890,52,10
2016,66,4
040,14,3
change,62,6
Change,34,6
a123456,76,7
abc123,126,6
cent,18,4
tcdn@20,20,7
tcdn,20,4
2007,18,4
hang,54,4
broad,14,5
sun,30,3
