5nwt3p-ff4wosqm5o,388,17
,19524,0
j5cmmu=kyf0-br8csw,284,18
fob,288,3
admin,5276,5
123,21292,3
Admin,2044,5
administrator,300,13
password,732,8
Pass,1312,4
word,3560,4
025,108,3
fen,236,3
qazwsx,1656,6
wsx,952,3
asdf1234,136,8
1234,7896,4
asd,2480,3
err,184,3
123456,10416,6
abc123,620,6
abc,3080,3
change,472,6
ang,1988,3
fdk23e4ej#md%28@1,80,17
cloud,2196,5
.cn,560,3
Link,112,4
2022,1780,4
link,136,4
1qa@ws,136,6
seed,164,4
1qaz@wsx3edc,136,12
1qaz@wsx3,136,9
1qaz@wsx,308,8
pass,3940,4
!@#$,932,4
huawei,1028,6
Hua,696,3
welcome,632,7
come,564,4
123123,380,6
qwe,2664,3
mini,1816,4
qweasd,1060,6
asd123,632,6
qwe123,748,6
Wang,144,4
wang,652,4
tcdn@20,68,7
tcdn,68,4
2007,88,4
xiao,344,4
two,80,3
qweasdzxc,436,9
ubuntu,484,6
pgj-heu05hqm=bmv,64,16
Change,324,6
dev,260,3
ali,444,3
2023,1988,4
!@#,3980,3
qaz,1644,3
2024,1540,4
des,88,3
ine,252,3
900,80,3
12345678,1192,8
1234567,1276,7
user,628,4
password1,284,9
Golden,56,6
golden,56,6
era,440,3
qazwsxedc,348,9
!qaz,600,4
root,1944,4
diesel,52,6
Diesel,52,6
1982,56,4
aaa,648,3
aon,180,3
lame,60,4
123qwe,668,6
qwerty,840,6
wer,1704,3
123456789,796,9
Zaki,52,4
blacks,48,6
wall,132,4
eep,60,3
...,248,3
Word,56,4
1q2w3e4r,196,8
ear,372,3
2020,1088,4
sword,284,5
1qaz2wsx,248,8
edc,948,3
was,132,3
Bruce,52,5
bruce,52,5
speed,64,5
123321,260,6
lkjhgfdsa,52,9
147258,268,6
mint,52,4
centos,256,6
2021,1156,4
cent,156,4
valid,60,5
guest,92,5
2015,196,4
12345,2584,5
woai,200,4
2ws,228,3
aq!,104,3
last,104,4
oracle,316,6
Oracle,160,6
zxcvbnm,172,7
zxcvbn,96,6
!@#$%,472,5
@#$%,408,4
smooth,44,6
test,956,4
Test,380,4
red,184,3
tie,796,3
Amax,40,4
1979,40,4
max,52,3
zhang,516,5
1qa,256,3
qa2,88,3
mad,92,3
ham,88,3
telephone,52,9
post,148,4
die,1104,3
break,40,5
jail,40,4
Sunshine,40,8
sunshine,44,8
Digital,44,7
digital,92,7
ocean,44,5
support,112,7
linux,428,5
Lin,152,3
555,80,3
man,376,3
321,396,3
c!@#,288,4
102030,40,6
001,60,3
xsw,392,3
tel,140,3
856,40,3
butter,44,6
ter,520,3
fly,52,3
serve,852,5
1qaz@,280,5
qaz@,288,4
control,52,7
total,36,5
talc,36,4
qweqwe,432,6
soft,140,4
zhi,192,3
qwer1234,168,8
nise,36,4
SEC,40,3
500,72,3
woaini,176,6
aini,208,4
.com,5160,4
qwertyuiop,132,10
qwertyu,124,7
idc.c,2424,5
idc,3532,3
weed,108,4
abcd1234,96,8
200,280,3
sit,96,3
76ci&d#^nyknxzf^dnwpjgv&,36,24
2018,1748,4
host,80,4
2019,780,4
wet,68,3
hello,356,5
words,104,5
fuckyou,92,7
rammstein,36,9
lie,320,3
ever,64,4
Down,52,4
down,76,4
!@#456,592,6
000,100,3
offer,32,5
MGS,32,3
secret,80,6
qwerty123,64,9
qwerty1,64,7
1qaz,520,4
game,80,4
Cent,88,4
India,84,5
q1w2e3r4,112,8
super,244,5
vis,76,3
mln,32,3
broad,32,5
rty,216,3
Ami,36,3
mile,44,4
Galaxy,48,6
mobile,40,6
Mobile,36,6
testing,92,7
ing,860,3
asdfghjkl,88,9
shr,32,3
craft,172,5
mine,156,4
secure,56,6
ecu,40,3
045,28,3
did,36,3
Monitor,28,7
monitor,32,7
oel,32,3
121,120,3
fire,104,4
cheng,80,5
air,120,3
for,152,3
059,72,3
ian,668,3
